,Provincia,tasa_mortalidad,año
0,Catamarca,12.5,2019
1,Chaco,13.7,2019
2,Chubut,8.5,2019
3,Cordoba,9.9,2019
4,Corrientes,14.9,2019
5,Entre_Rios,10.1,2019
6,Formosa,14.7,2019
7,Jujuy,14.0,2019
8,La_Pampa,11.5,2019
9,La_Rioja,17.3,2019
10,Mendoza,12.7,2019
11,Misiones,16.0,2019
12,Neuquen,12.8,2019
13,Rio_Negro,11.5,2019
14,Salta,11.7,2019
15,San_Juan,13.2,2019
16,San_Luis,21.2,2019
17,Santa_Cruz,8.4,2019
18,Santa_Fe,14.4,2019
19,Santiago_del_Estero,21.0,2019
20,Tierra_del_Fuego,5.3,2019
21,Tucuman,19.3,2019
22,CABA,2.79,2019
